Spacing,Aperture
158,0.33
160,0.95
236,0.95
80,0.95
218,1.75
121,1.15
168,4
260,6
20,4
290,0.33
16,0.215
154,3.3
58,2.15
128,0.75
260,2.65
290,8
220,1.15
228,1.4
218,0.62
150,5
584,4
316,5
270,2.55
120,10
236,6
200,2.15
240,9
240,0.75
2,2.65
190,12
162,10
242,11
142,4
46,4
166,3.3
79,3.3
54,2.15
42,1.75
30,1.75
758,3.3
680,3.3
420,9
440,0.265
94,2.65
130,3.3
126,5
210,1.75
116,11
160,4
48,3.3
74,6
94,2.65
60,5
170,8
106,5
58,1.4
34,3.3
530,2.15
84,0.265
18,0.95
40,0.62
150,2.65
160,5
164,3.3
270,0.4
57,2.65
240,1.4
240,5
142,2.15
150,1.4
276,3.3
280,9
160,1.75
254,7
248,1.75
760,2.65
300,2.15
114,7
24,2.15
386,6
360,7
296,11
496,5
240,12
386,18
58,0.62
386,4
370,7
180,2
70,0.33
49,0.95
60,2.15
426,1.4
80,8
46,5
240,7
175,6
140,1
34,0.4
514,1
240,0.5
44,2
112,4
23,2
176,4
100,0.4
130,5
24,3
306,2
280,10
128,2
168,2
114,4
218,0.95
228,1.75
506,0.75
20,0.5
266,7
246,8
145,1.15
88,1.15
270,3.3
236,3.3
58,9
266,2.15
9,0.62
134,4
208,5
60,4
38,0.95
42,3.3
58,2.65
240,4
72,0.95
134,0.215
186,2.15
158,2.65
278,3.3
550,0.62
140,5
58,0.75
214,2.65
226,2.15
64,2.15
224,6
106,0.265
102,2.15
31,0.95
217,4
270,4
222,0.33
2,0.4
2,0.33
266,8
90,0.75
60,2.15
129,0.62
100,4
955,1.75
152,4
62,3.3
21,0.33
168,0.33
321,1.4
263,1.15
118,10
14,0.33
239,1.15
80,6
152,1
190,3
220,3
156,2
426,2
408,4
330,4
264,3
530,4
178,6
130,2
400,12
210,6
173,9
43,4
150,8
160,3
610,4
360,2
282,6
198,5
350,4
290,4
0,8
198,4
115,2.15
257,3.3
121,0.65
120,1.4
268,3.3
137,2.65
190,4
75,4
